Cantidad Material: 8709
--------------------------------------------------------------------------------
|Material          |  Val.stk.valor.   |  Stock valorado   |    Cantidad SC    |
--------------------------------------------------------------------------------
|Total             | 7,226,638,763  COP| 1,466,348.000  ***|         0.000  ***|
|032458            |             0  COP|             0  UN |             0  UN |
|032469            |             0  COP|             0  UN |             0  UN |
|032517            |             0  COP|             0  UN |             0  UN |
|032528            |             0  COP|             0  UN |             0  UN |
|032551            |             0  COP|             0  UN |             0  UN |
|032584            |             0  COP|             0  UN |             0  UN |
|032595            |             0  COP|             0  UN |             0  UN |
|032632            |             0  COP|             0  UN |             0  UN |
|032643            |             0  COP|             0  UN |             0  UN |
|032861            |             0  COP|             0  UN |             0  UN |
|032872            |             0  COP|             0  UN |             0  UN |
|032883            |             0  COP|             0  UN |             0  UN |
|032894            |             0  COP|             0  UN |             0  UN |
|032908            |             0  COP|             0  UN |             0  UN |
|032919            |             0  COP|             0  UN |             0  UN |
|033086            |             0  COP|             0  UN |             0  UN |
|033101            |             0  COP|             0  UN |             0  UN |
|035149            |             0  COP|             0  UN |             0  UN |
|035356            |             0  COP|             0  UN |             0  UN |
|035390            |             0  COP|             0  UN |             0  UN |
|035415            |             0  COP|             0  UN |             0  UN |
|035437            |             0  COP|             0  UN |             0  UN |
|035448            |             0  COP|             0  UN |             0  UN |
|035459            |             0  COP|             0  UN |             0  UN |
|035482            |             0  COP|             0  UN |             0  UN |
|035622            |             0  COP|             0  UN |             0  UN |
|037534            |             0  COP|             0  UN |             0  UN |
|037545            |             0  COP|             0  UN |             0  UN |
